iter	Passed	Remaining
204	276	1072
205	277	1067
206	277	1063
207	278	1058
208	278	1054
209	279	1050
210	279	1045
211	280	1041
212	280	1037
213	281	1033
214	281	1029
215	282	1025
216	283	1021
217	283	1017
218	284	1013
219	284	1009
220	285	1005
221	285	1001
222	286	998
223	287	994
224	287	990
225	288	987
226	288	983
227	289	979
228	289	975
229	290	972
230	290	968
231	291	964
232	292	961
233	292	958
234	293	954
235	293	950
236	294	947
237	294	943
238	295	940
239	295	937
240	296	933
241	297	930
242	297	927
243	298	924
244	299	921
245	299	918
246	300	915
247	300	912
248	301	908
249	301	905
250	302	902
251	302	899
252	303	895
253	303	892
254	304	889
255	305	886
256	305	883
257	306	880
258	306	877
259	307	874
260	307	871
261	308	868
262	308	865
263	309	862
264	309	859
265	310	856
266	311	853
267	311	851
268	312	848
269	312	845
270	313	842
271	313	839
272	314	837
273	314	834
274	315	831
275	315	828
276	316	825
277	317	823
278	317	821
279	318	818
280	318	815
281	319	813
282	319	810
283	320	807
284	320	804
285	321	802
286	321	799
287	322	797
288	322	794
289	323	792
290	324	789
291	324	787
292	325	785
293	326	783
294	326	781
295	327	779
296	328	776
297	328	774
298	329	772
299	330	770
300	331	768
301	331	766
302	332	764
303	333	762
304	333	760
305	334	758
306	334	755
307	335	753
308	335	751
309	336	749
310	337	747
311	337	744
312	338	742
313	338	740
314	339	738
315	340	736
316	340	734
317	341	731
318	341	729
319	342	728
320	343	725
321	344	724
322	344	722
323	345	720
324	345	718
325	346	716
326	347	714
327	347	712
328	348	711
329	349	709
330	350	707
331	350	705
332	351	703
333	352	701
334	352	699
335	353	698
336	353	696
337	354	694
338	355	692
339	355	690
340	356	688
341	357	687
342	357	685
343	358	683
344	358	681
345	359	679
346	360	677
347	360	675
348	361	674
349	362	672
350	362	670
351	363	668
352	363	667
353	364	665
354	365	663
355	365	661
356	366	660
357	367	658
358	367	656
359	368	654
360	368	652
361	369	651
362	369	649
363	370	647
364	371	645
365	371	643
366	372	642
367	372	640
368	373	638
369	373	636
370	374	634
371	375	633
372	375	631
373	376	629
374	376	627
375	377	626
376	377	624
377	378	622
378	378	620
379	379	619
380	380	618
381	381	616
382	382	615
383	382	613
384	384	613
385	384	612
386	385	610
387	386	609
388	386	607
389	387	605
390	388	604
391	388	602
392	389	601
393	389	599
394	390	598
395	391	596
396	392	595
397	392	594
398	393	592
399	394	591
400	394	589
401	395	587
402	395	586
403	396	584
404	397	583
405	397	581
406	398	580
407	398	578
408	399	577
409	400	575
410	400	574
411	401	572
412	401	571
413	402	569
414	403	568
415	403	566
416	404	565
417	405	563
418	405	562
419	406	561
420	406	559
421	407	558
422	408	556
423	408	555
424	409	553
425	409	552
426	410	550
427	411	549
428	411	547
429	412	546
430	412	544
431	413	543
432	413	542
433	414	540
434	415	539
435	415	537
436	416	536
437	416	535
438	417	533
439	418	532
440	418	530
441	419	529
442	420	528
443	420	526
444	421	525
445	421	523
446	422	522
447	423	521
448	423	520
449	424	518
450	425	517
451	425	516
452	426	514
453	426	513
454	427	512
455	428	510
456	428	509
457	429	508
458	429	506
459	430	505
460	431	504
461	431	502
462	432	501
463	432	500
464	433	498
465	434	497
466	434	496
467	435	494
468	436	493
469	436	492
470	437	491
471	438	490
472	439	489
473	439	488
474	440	486
475	440	485
476	441	484
477	442	482
478	442	481
479	443	480
480	444	479
481	444	477
482	445	476
483	445	475
484	446	474
485	447	473
486	447	471
487	448	470
488	449	469
489	449	468
490	450	467
491	451	465
492	451	464
493	452	463
